	cluster	avg_dist	std_dist	sum_dist	condition	duration	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
229	37.0	0.6519394917018545	0.1687472951186476	7.823273900422254	shown	2.98	111.75	4	fmri	images_fmri/carrot/carrot_01b.jpg	121	1	278.0	4075.0	1.0	carrot
230	22.0	0.5507816331851468	0.22102755801888155	6.609379598221762	shown	2.98	116.22	4	fmri	images_fmri/car/car_01b.jpg	118	1	268.0	3940.0	1.0	car
231	38.0	0.5544195257533634	0.19616270443560932	6.653034309040361	shown	2.98	120.69	4	fmri	images_fmri/sheep/sheep_01b.jpg	553	1	1415.0	20076.0	1.0	sheep
232	52.0	0.5232133523496733	0.10119568058607026	6.278560228196079	shown	2.98	125.16	4	fmri	images_fmri/doll/doll_01b.jpg	206	1	500.0	7219.0	1.0	doll
233	55.0	0.5976750005921514	0.1516682001866405	7.172100007105817	shown	2.98	129.63	4	fmri	images_fmri/wine/wine_01b.jpg	709	1	1824.0	25674.0	1.0	wine
234	45.0	0.5763249820207367	0.11411169601424728	6.91589978424884	shown	2.98	134.1	4	fmri	images_fmri/wheelbarrow/wheelbarrow_01b.jpg	703	1	1808.0	25464.0	1.0	wheelbarrow
235	19.0	0.3920811187092883	0.1180835822864181	4.70497342451146	shown	2.98	138.57	4	fmri	images_fmri/chair/chair_01b.jpg	129	1	301.0	4383.0	1.0	chair
236	6.0	0.568179933654498	0.13907939156208182	40.34077528946936	shown	2.98	143.04	4	fmri	images_fmri/octopus/octopus_01b.jpg	428	1	1071.0	15224.0	1.0	octopus
237	31.0	0.47156116479766047	0.1423300244945213	5.658733977571925	shown	2.98	147.51	4	fmri	images_fmri/powder/powder_01b.jpg	494	1	1237.0	17590.0	1.0	powder
238	48.0	0.5388224824048814	0.1607255238293962	6.465869788858576	shown	2.98	151.98	4	fmri	images_fmri/flashbulb/flashbulb_01b.jpg	250	1	611.0	8827.0	1.0	flashbulb
239	13.0	0.622088682321845	0.17078924286959615	7.46506418786214	shown	2.98	156.45	4	fmri	images_fmri/mandolin/mandolin_01s.jpg	383	1	966.0	13762.0	1.0	mandolin
240	28.0	0.6504031573127114	0.12347465051640194	7.804837887752536	shown	2.98	160.92	4	fmri	images_fmri/coleslaw/coleslaw_01b.jpg	161	1	387.0	5566.0	1.0	coleslaw
241	26.0	0.5725676782819237	0.12651711069638039	6.8708121393830845	shown	2.98	165.39	4	fmri	images_fmri/cockroach/cockroach_01b.jpg	156	1	374.0	5389.0	1.0	cockroach
242	27.0	0.5426286244693982	0.13737742155375787	6.511543493632778	shown	2.98	169.85999999999999	4	fmri	images_fmri/tumbleweed/tumbleweed_01b.jpg	671	1	1728.0	24353.0	1.0	tumbleweed
243	23.0	0.4699047781131709	0.1258766335006374	5.638857337358051	shown	2.98	174.32999999999998	4	fmri	images_fmri/lingerie/lingerie_01b.jpg	369	1	933.0	13320.0	1.0	lingerie
244	21.0	0.457728885019317	0.14463798941880254	5.492746620231804	shown	2.98	178.79999999999998	4	fmri	images_fmri/snowboard/snowboard_01b.jpg	577	1	1482.0	20990.0	1.0	snowboard
245	44.0	0.541151238074117	0.14921163351135666	6.493814856889404	shown	2.98	183.26999999999998	4	fmri	images_fmri/bow2/bow2_01s.jpg	74	1	176.0	2678.0	1.0	bow2
246	24.0	0.5155084561252066	0.1989231434744567	6.186101473502479	shown	2.98	187.73999999999998	4	fmri	images_fmri/bike/bike_01b.jpg	52	1	124.0	1886.0	1.0	bike
247	8.0	0.4728314749884115	0.16645075926343308	33.57103472417722	shown	2.98	192.20999999999998	4	fmri	images_fmri/sandpaper/sandpaper_01b.jpg	537	1	1357.0	19297.0	1.0	sandpaper
248	40.0	0.7096065842272313	0.13675896375816837	8.515279010726776	shown	2.98	196.67999999999998	4	fmri	images_fmri/blackberry/blackberry_01b.jpg	58	1	136.0	2076.0	1.0	blackberry
249	43.0	0.6791544180505033	0.09377035501567148	8.14985301660604	shown	2.98	201.14999999999998	4	fmri	images_fmri/lizard/lizard_01b.jpg	372	1	938.0	13393.0	1.0	lizard
250	9.0	0.6351449187249016	0.15977335919467697	45.095289229468015	shown	2.98	205.61999999999998	4	fmri	images_fmri/radish/radish_01b.jpg	509	1	1275.0	18157.0	1.0	radish
251	54.0	0.641325565620918	0.13029364380581937	7.695906787451016	shown	2.98	210.08999999999997	4	fmri	images_fmri/whale/whale_01b.jpg	701	1	1805.0	25425.0	1.0	whale
